open-time,open,high,low,close,volume,close-time,quote-asset-volume,num-of-trades,taker-buy-base-asset-vol,taker-buy-quote-asset-vol,ignore
1588838400000,0.21509000,0.21644000,0.21429000,0.21624000,2505127.60000000,1588841999999,539432.58281000,2009,1354139.00000000,291630.89685100,0
1588842000000,0.21614000,0.21619000,0.21410000,0.21502000,2784328.50000000,1588845599999,598016.00026300,2147,1184745.00000000,254436.87899100,0
1588845600000,0.21503000,0.21513000,0.21389000,0.21449000,2235155.20000000,1588849199999,479358.30018600,1863,1074080.40000000,230348.49795100,0
1588849200000,0.21448000,0.21451000,0.21308000,0.21365000,3200793.50000000,1588852799999,683965.85107500,2320,1629044.20000000,348067.92235300,0
1588852800000,0.21369000,0.21722000,0.21327000,0.21600000,6759715.40000000,1588856399999,1456004.44345600,4230,3616586.40000000,778822.52980600,0
1588856400000,0.21596000,0.21818000,0.21479000,0.21621000,11692321.70000000,1588859999999,2527662.69468600,6550,6235669.90000000,1348526.20263200,0
1588860000000,0.21626000,0.21725000,0.21540000,0.21541000,4066337.80000000,1588863599999,879918.84651600,2551,1857134.00000000,402052.07509000,0
1588863600000,0.21542000,0.21593000,0.21275000,0.21478000,8918924.90000000,1588867199999,1913043.63635300,4798,5208257.20000000,1117057.27345400,0
1588867200000,0.21483000,0.21538000,0.21294000,0.21411000,5830054.50000000,1588870799999,1248700.78150000,3320,3056155.90000000,654707.65428700,0
1588870800000,0.21415000,0.21586000,0.21355000,0.21574000,27016591.70000000,1588874399999,5794548.60489300,9787,15855040.20000000,3398680.95382200,0
1588874400000,0.21573000,0.22110000,0.21565000,0.21896000,23665674.10000000,1588877999999,5193224.13192700,12084,12742467.60000000,2797040.92569500,0
1588878000000,0.21892000,0.22027000,0.21821000,0.21884000,10525573.50000000,1588881599999,2308689.05380400,5774,5388132.60000000,1182083.80941100,0
1588881600000,0.21885000,0.21997000,0.21709000,0.21767000,8730020.60000000,1588885199999,1910440.76653500,4435,4487071.40000000,981936.18969300,0
1588885200000,0.21774000,0.21862000,0.21723000,0.21839000,4211824.40000000,1588888799999,917530.31666200,2488,1900660.30000000,414093.78832100,0
1588888800000,0.21839000,0.21882000,0.21766000,0.21868000,4464937.10000000,1588892399999,974658.41035500,2696,2331410.90000000,508986.31186700,0
1588892400000,0.21868000,0.21911000,0.21765000,0.21862000,8724831.30000000,1588895999999,1906177.29008500,4980,4083790.30000000,892334.67808900,0
1588896000000,0.21860000,0.22199000,0.21830000,0.22193000,8748381.80000000,1588899599999,1922467.26622200,5241,4164016.00000000,915750.45165500,0
1588899600000,0.22195000,0.22199000,0.21936000,0.22049000,6325149.40000000,1588903199999,1394330.58125400,4007,3032539.00000000,668535.45784500,0
1588903200000,0.22047000,0.22050000,0.21787000,0.21867000,4875533.30000000,1588906799999,1068167.20546400,3101,2113476.10000000,462842.75932900,0
1588906800000,0.21862000,0.21920000,0.21711000,0.21892000,4383739.00000000,1588910399999,956239.92537400,2413,2247964.60000000,490109.94866000,0
1588910400000,0.21889000,0.21897000,0.21808000,0.21829000,3406598.20000000,1588913999999,744430.32449700,2035,1565209.20000000,342021.59192700,0
1588914000000,0.21828000,0.21828000,0.21606000,0.21700000,6134872.70000000,1588917599999,1331545.94794300,4079,3006219.10000000,652526.49631200,0
1588917600000,0.21688000,0.21688000,0.21423000,0.21525000,7673088.10000000,1588921199999,1653453.75451500,5283,3308871.90000000,713158.96994200,0
1588921200000,0.21524000,0.21640000,0.21468000,0.21568000,4241360.60000000,1588924799999,914438.26966100,3255,2044877.90000000,440846.65256600,0
1588924800000,0.21567000,0.21610000,0.21542000,0.21557000,4445513.60000000,1588928399999,959038.22606200,2925,2283750.40000000,492761.04362000,0
1588928400000,0.21563000,0.21592000,0.21489000,0.21550000,3884466.10000000,1588931999999,837043.89532000,2596,1800366.30000000,388016.47973800,0
1588932000000,0.21550000,0.21732000,0.21505000,0.21727000,3843258.90000000,1588935599999,831931.79402500,2627,1789093.40000000,387246.04170800,0
1588935600000,0.21727000,0.21737000,0.21648000,0.21680000,3806492.40000000,1588939199999,825601.85332700,2298,1941528.90000000,421090.92062800,0
1588939200000,0.21667000,0.21679000,0.21550000,0.21610000,4595728.80000000,1588942799999,993770.96016000,2791,2011764.40000000,435037.63912800,0
1588942800000,0.21603000,0.21730000,0.21593000,0.21680000,4107221.40000000,1588946399999,889439.42527000,2410,2341605.00000000,507205.66846400,0
1588946400000,0.21682000,0.21819000,0.21658000,0.21747000,3889969.60000000,1588949999999,845093.51044900,2771,1914710.10000000,416000.94699000,0
1588950000000,0.21745000,0.21844000,0.21710000,0.21785000,5649449.90000000,1588953599999,1230291.89249800,3214,2840433.90000000,618530.41301900,0
1588953600000,0.21789000,0.22127000,0.21750000,0.22078000,10215395.30000000,1588957199999,2246978.96228700,5901,4926367.00000000,1083549.46997100,0
1588957200000,0.22078000,0.22147000,0.21973000,0.22019000,7779764.00000000,1588960799999,1716369.65806900,3806,3921390.10000000,864980.09075600,0
1588960800000,0.22018000,0.22075000,0.21808000,0.21830000,5870184.60000000,1588964399999,1291728.31765300,3359,2404695.20000000,529106.39262800,0
1588964400000,0.21830000,0.21993000,0.21771000,0.21919000,4244284.90000000,1588967999999,929358.32012300,2809,2172886.20000000,475742.81082200,0
1588968000000,0.21918000,0.21995000,0.21815000,0.21981000,2843696.90000000,1588971599999,622616.37167300,1939,1348932.50000000,295318.99048200,0
1588971600000,0.21982000,0.22039000,0.21981000,0.22026000,5403655.20000000,1588975199999,1189288.57958800,2352,3082825.90000000,678486.94747800,0
1588975200000,0.22027000,0.22150000,0.21851000,0.21870000,9946914.10000000,1588978799999,2190200.74205100,5276,4479494.00000000,986428.39989200,0
1588978800000,0.21887000,0.22026000,0.21800000,0.21865000,7607485.60000000,1588982399999,1666751.20579000,4672,3466420.00000000,759441.25646000,0
1588982400000,0.21865000,0.22048000,0.21694000,0.21990000,7505049.10000000,1588985999999,1642422.66614700,4916,3788488.70000000,829431.16646500,0
1588986000000,0.21994000,0.22133000,0.21963000,0.22003000,6208208.90000000,1588989599999,1369957.86127300,3418,2827048.80000000,624020.26969600,0
1588989600000,0.22002000,0.22120000,0.21837000,0.22031000,10771758.60000000,1588993199999,2368260.71055500,6307,5369516.30000000,1180457.84260600,0
1588993200000,0.22031000,0.22077000,0.21888000,0.22022000,4995489.30000000,1588996799999,1098573.03148100,2923,2226594.40000000,489570.92790700,0
1588996800000,0.22026000,0.22075000,0.21887000,0.21972000,3381857.40000000,1589000399999,743345.97011100,2238,1469215.20000000,322989.68955900,0
1589000400000,0.21971000,0.22163000,0.21863000,0.22150000,6413214.60000000,1589003999999,1411925.76315800,3608,3489815.50000000,768440.93363800,0
1589004000000,0.22145000,0.22500000,0.22106000,0.22200000,25335869.40000000,1589007599999,5661758.42163700,12067,12907071.00000000,2884996.72566500,0
1589007600000,0.22199000,0.22370000,0.22017000,0.22061000,9995831.90000000,1589011199999,2223039.96877400,6015,3893659.80000000,866322.90834000,0
1589011200000,0.22058000,0.22163000,0.22037000,0.22122000,5460608.50000000,1589014799999,1207151.17478300,3065,1940118.70000000,428900.59336500,0
1589014800000,0.22123000,0.22276000,0.22100000,0.22200000,7371525.20000000,1589018399999,1636107.66997000,3453,4080921.30000000,905627.23815100,0
1589018400000,0.22200000,0.22217000,0.22030000,0.22122000,4574958.90000000,1589021999999,1012273.93624600,2484,2114211.70000000,467933.00409100,0
1589022000000,0.22122000,0.22155000,0.21750000,0.21977000,8637682.80000000,1589025599999,1895695.06654200,4883,3557169.70000000,780560.69726500,0
1589025600000,0.21980000,0.22067000,0.21898000,0.21989000,4952751.60000000,1589029199999,1088713.86548900,2695,2525235.80000000,555036.62941400,0
1589029200000,0.21987000,0.22103000,0.21939000,0.22095000,4912195.10000000,1589032799999,1081421.34352700,2145,2402931.80000000,528923.29037900,0
1589032800000,0.22097000,0.22101000,0.21996000,0.22068000,3776233.70000000,1589036399999,832540.37287300,1831,1748461.60000000,385500.61523600,0
1589036400000,0.22072000,0.22113000,0.21905000,0.22048000,5262785.30000000,1589039999999,1157592.96084400,2352,1897429.40000000,417582.43059200,0
1589040000000,0.22048000,0.22239000,0.22029000,0.22100000,10175501.90000000,1589043599999,2252771.80359100,4873,5121813.20000000,1134173.48844400,0
1589043600000,0.22102000,0.22179000,0.22042000,0.22052000,3240747.60000000,1589047199999,716439.79868400,2115,1616805.20000000,357511.14206000,0
1589047200000,0.22050000,0.22109000,0.21924000,0.21958000,3368281.90000000,1589050799999,741575.25777300,2232,1436103.20000000,316180.70280200,0
1589050800000,0.21964000,0.22002000,0.21941000,0.21989000,2024204.60000000,1589054399999,444841.34855100,1629,1291673.90000000,283866.95467100,0
1589054400000,0.22000000,0.22070000,0.21892000,0.21925000,4829229.40000000,1589057999999,1060706.43843100,2807,1992918.20000000,437781.68729700,0
1589058000000,0.21928000,0.21932000,0.21660000,0.21701000,5306541.10000000,1589061599999,1156815.23336800,3229,2011509.60000000,438403.61403800,0
1589061600000,0.21701000,0.21828000,0.21554000,0.21766000,5440742.50000000,1589065199999,1180651.60275500,3263,3010684.70000000,653047.44206200,0
1589065200000,0.21761000,0.21844000,0.21604000,0.21642000,5077960.80000000,1589068799999,1102820.79286900,3010,2098293.90000000,455535.39648600,0
1589068800000,0.21642000,0.21651000,0.17800000,0.19786000,84300070.70000000,1589072399999,16616383.14425900,40413,34711485.50000000,6828294.90869800,0
1589072400000,0.19786000,0.19905000,0.19476000,0.19802000,25335882.80000000,1589075999999,4999893.51418600,12258,11591994.20000000,2288197.50011900,0
1589076000000,0.19805000,0.19808000,0.19511000,0.19589000,11829667.80000000,1589079599999,2323719.39673500,5323,5870101.50000000,1153260.04430600,0
1589079600000,0.19589000,0.19629000,0.19063000,0.19469000,18149547.90000000,1589083199999,3524929.24671500,8492,8499930.70000000,1650595.16629800,0
1589083200000,0.19468000,0.19499000,0.19256000,0.19459000,10976433.80000000,1589086799999,2127850.84497100,5705,5514652.60000000,1069154.77864300,0
1589086800000,0.19461000,0.19618000,0.19400000,0.19555000,7726395.10000000,1589090399999,1506730.75467100,3952,4143328.60000000,807924.87132900,0
1589090400000,0.19552000,0.19636000,0.19472000,0.19585000,7268375.50000000,1589093999999,1422057.26325300,3818,3205106.60000000,627015.04660800,0
1589094000000,0.19593000,0.20089000,0.19577000,0.20020000,12070350.70000000,1589097599999,2401712.14161100,7042,6086493.70000000,1210987.66021700,0
1589097600000,0.20028000,0.20184000,0.19871000,0.19902000,11727665.20000000,1589101199999,2345850.18835300,5608,5134477.30000000,1026966.28885600,0
1589101200000,0.19892000,0.19955000,0.19792000,0.19792000,5516643.20000000,1589104799999,1096898.34352800,3136,2777584.00000000,552231.70187200,0
1589104800000,0.19792000,0.19992000,0.19672000,0.19950000,7676050.50000000,1589108399999,1522267.36770200,4365,4138880.30000000,820771.54502600,0
