open-time,open,high,low,close,volume,trades
1602961200,1.0004,1.0006,1.0004,1.0004,32783.42347592,78
1602964800,1.0004,1.0005,1.0004,1.0005,48280.21843726,76
1602968400,1.0004,1.0006,1.0004,1.0004,172408.7899352101,140
1602972000,1.0004,1.0006,1.0004,1.0006,39412.12151951,72
1602975600,1.0005,1.0006,1.0004,1.0004,46058.53490241,90
1602979200,1.0005,1.0006,1.0005,1.0006,29057.07946848,77
1602982800,1.0006,1.0008,1.0005,1.0008,32009.18370252,101
1602986400,1.0008,1.0008,1.0005,1.0006,75437.94296518,199
1602990000,1.0006,1.0007,1.0006,1.0007,46825.33753694,58
1602993600,1.0006,1.0008,1.0006,1.0007,46295.51965505,89
1602997200,1.0007,1.0008,1.0006,1.0007,41486.91693272,109
1603000800,1.0007,1.0008,1.0006,1.0007,94730.89206098,180
1603004400,1.0007,1.0008,1.0005,1.0005,48203.41773545,99
1603008000,1.0006,1.0006,1.0004,1.0004,100143.6155759,152
1603011600,1.0004,1.0006,1.0004,1.0006,384544.3388922098,162
1603015200,1.0006,1.0007,1.0005,1.0006,107709.16492604,82
1603018800,1.0005,1.0007,1.0005,1.0007,57302.81924395,99
1603022400,1.0007,1.0008,1.0006,1.0008,28975.50945443,87
1603026000,1.0008,1.0008,1.0006,1.0007,112298.4307183,99
1603029600,1.0007,1.0007,1.0005,1.0005,256692.26292517,221
1603033200,1.0006,1.0007,1.0005,1.0006,104816.76795487,168
1603036800,1.0006,1.0007,1.0005,1.0007,87260.8043558301,259
1603040400,1.0007,1.0007,1.0005,1.0006,207942.13601616,178
1603044000,1.0005,1.0006,1.0005,1.0006,91998.7922344301,208
1603047600,1.0006,1.0007,1.0005,1.0007,71497.88394435,224
1603051200,1.0006,1.0006,1.0004,1.0005,153683.2715854199,196
1603054800,1.0005,1.0005,1.0004,1.0004,70378.8887391,177
1603058400,1.0004,1.0005,1.0004,1.0004,222832.85707774,166
1603062000,1.0005,1.0005,1.0004,1.0005,225278.0260887901,132
1603065600,1.0004,1.0005,1.0004,1.0005,290812.2680075402,327
1603069200,1.0004,1.0005,1.0004,1.0005,111348.5019184,161
1603072800,1.0005,1.0005,1.0003,1.0004,466867.1561383902,103
1603076400,1.0004,1.0005,1.0003,1.0004,661656.8017464107,226
1603080000,1.0004,1.0005,1.0002,1.0003,526815.00388219,151
1603083600,1.0002,1.0004,1.0002,1.0004,316757.9273145099,121
1603087200,1.0004,1.0004,1.0,1.0001,1197999.8041482891,318
1603090800,1.0002,1.0004,1.0001,1.0004,582936.6831970295,274
1603094400,1.0004,1.0005,1.0001,1.0005,969012.1304312402,450
1603098000,1.0005,1.0005,1.0,1.0001,1943639.496342149,696
1603101600,1.0001,1.0003,1.0,1.0002,835291.1888704303,493
1603105200,1.0001,1.0004,0.9999,1.0004,1809501.6025805704,515
1603108800,1.0004,1.0006,1.0002,1.0005,1646400.9640188692,517
1603112400,1.0005,1.0009,1.0004,1.0007,2178942.582337276,1081
1603116000,1.0007,1.001,1.0005,1.0008,1247881.7301584803,868
1603119600,1.0008,1.0009,1.0005,1.0005,1592123.4032599796,1126
1603123200,1.0005,1.0008,1.0005,1.0007,468723.5347187198,403
1603126800,1.0007,1.0008,1.0005,1.0006,313498.7741482905,305
1603130400,1.0006,1.0007,1.0004,1.0006,634597.6167726999,491
1603134000,1.0005,1.0007,1.0005,1.0006,198667.9221789499,291
1603137600,1.0006,1.0009,1.0005,1.0009,579020.7053783303,379
1603141200,1.0008,1.001,1.0005,1.001,365322.1259993898,308
